athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,experience_years,receiving_long_reception,receiving_receiving_touchdowns,receiving_receiving_yards,receiving_receptions
4426460,Jackson,Lowe,Jackson Lowe,Jackson Lowe,237,77,TE,3,7,0,16,3
4426496,Cade,Stover,Cade Stover,Cade Stover,251,76,TE,4,49,5,576,41
4426496,Cade,Stover,Cade Stover,Cade Stover,251,76,TE,4,49,5,576,41
4426496,Cade,Stover,Cade Stover,Cade Stover,251,76,TE,4,49,5,576,41
4426684,Andrew,Bench,Andrew Bench,Andrew Bench,255,77,TE,4,10,0,20,3
4426692,Luke,Benson,Luke Benson,Luke Benson,233,76,TE,4,38,0,81,8
4426741,Luke,Bolden,Luke Bolden,Luke Bolden,254,74,TE,4,40,0,60,3
4426741,Luke,Bolden,Luke Bolden,Luke Bolden,254,74,TE,4,40,0,60,3
4426857,Oscar,Cardenas,Oscar Cardenas,Oscar Cardenas,285,76,TE,4,28,2,280,32
4426874,Zion,Carter,Zion Carter,Zion Carter,265,78,TE,4,15,0,33,4
4426874,Zion,Carter,Zion Carter,Zion Carter,265,78,TE,4,15,0,33,4
4426874,Zion,Carter,Zion Carter,Zion Carter,265,78,TE,4,15,0,33,4
4427052,Easton,Dean,Easton Dean,Easton Dean,265,78,TE,4,66,2,156,15
4427052,Easton,Dean,Easton Dean,Easton Dean,265,78,TE,4,66,2,156,15
4427052,Easton,Dean,Easton Dean,Easton Dean,265,78,TE,4,66,2,156,15
4427164,Mason,Fairchild,Mason Fairchild,Mason Fairchild,260,76,TE,4,59,3,422,25
4427431,Cooper,Heisey,Cooper Heisey,Cooper Heisey,250,76,TE,4,36,3,187,22
4427436,Kyle,Helbig,Kyle Helbig,Kyle Helbig,250,75,TE,3,38,2,85,11
4427667,Hayden,Junker,Hayden Junker,Hayden Junker,245,75,TE,4,21,1,37,3
4427694,Casey,Kelly,Casey Kelly,Casey Kelly,245,75,TE,3,19,2,43,5
4427779,Jaelyn,Lay,Jaelyn Lay,Jaelyn Lay,260,79,TE,3,12,0,19,2
4427834,Erick,All,Erick All,Erick All,250,77,TE,4,34,3,299,21
4427836,Skylar,Loving-Black,Skylar Loving-Black,Skylar Loving-Black,244,75,TE,4,29,0,41,4
4427934,Dominick,Mazotti,Dominick Mazotti,Dominick Mazotti,252,76,TE,3,44,2,322,23
4427960,Terrell,McDonald,Terrell McDonald,Terrell McDonald,235,74,TE,4,26,0,73,7
4427981,Jayce,Medlock,Jayce Medlock,Jayce Medlock,217,75,TE,2,11,0,20,4
4428035,Elijah,Mojarro,Elijah Mojarro,Elijah Mojarro,239,76,TE,4,14,0,17,2
