"","athlete_id","first_name","last_name","full_name","display_name","weight","height","position_abbreviation","experience_years","rushing_long_rushing","rushing_rushing_attempts","rushing_rushing_touchdowns","rushing_rushing_yards","receiving_receiving_touchdowns","receiving_receiving_yards","receiving_receptions"
"201","4430063","Dominique","Johnson","Dominique Johnson","Dominique Johnson",252,73,"RB",3,41,31,1,167,0,4,2
"202","4430067","Jaren","Mangham","Jaren Mangham","Jaren Mangham",235,74,"RB",4,7,30,0,81,0,37,7
"203","4430100","Larry","McCammon III","Larry McCammon III","Larry McCammon III",204,71,"RB",4,40,149,5,681,0,205,25
"204","4430123","TJ","McDaniel","TJ McDaniel","TJ McDaniel",200,72,"RB",3,14,22,1,69,0,24,3
"205","4430210","Cole","Mueller","Cole Mueller","Cole Mueller",210,72,"RB",3,58,90,5,418,0,25,8
"206","4430286","Latrele","Palmer","Latrele Palmer","Latrele Palmer",220,72,"RB",4,13,30,1,112,0,16,2
"207","4430375","Dajon","Richard","Dajon Richard","Dajon Richard",225,70,"RB",3,29,9,1,58,0,0,0
"208","4430393","JuTahn","McClain","JuTahn McClain","JuTahn McClain",198,69,"RB",4,36,26,1,138,0,16,3
"209","4430404","Aidan","Robbins","Aidan Robbins","Aidan Robbins",240,75,"RB",3,36,101,1,485,0,33,7
"210","4430468","Marquez","Cooper","Marquez Cooper","Marquez Cooper",184,68,"RB",3,39,227,4,1043,0,163,18
"211","4430565","Will","Nixon","Will Nixon","Will Nixon",202,71,"RB",2,21,31,1,194,0,77,10
"212","4430591","Charvis","Thornton","Charvis Thornton","Charvis Thornton",202,70,"RB",3,47,55,1,270,1,28,7
"213","4430666","Ikaika","Ragsdale","Ikaika Ragsdale","Ikaika Ragsdale",218,71,"RB",3,17,9,0,34,0,0,0
"214","4430689","Dominic","Richardson","Dominic Richardson","Dominic Richardson",206,73,"RB",3,32,125,1,519,1,152,21
"215","4430712","Jordon","Simmons","Jordon Simmons","Jordon Simmons",195,71,"RB",4,4,7,0,14,0,0,0
"216","4430714","Reese","White","Reese White","Reese White",205,70,"RB",4,14,68,2,212,0,43,8
"217","4430717","Keshawn","Wicks","Keshawn Wicks","Keshawn Wicks",194,73,"RB",3,36,110,4,552,1,83,12
"218","4430804","Chris","Tyree","Chris Tyree","Chris Tyree",192,69,"WR",4,3,3,0,-1,3,484,26
"219","4430810","Daniyel","Ngata","Daniyel Ngata","Daniyel Ngata",192,69,"RB",3,9,7,1,23,0,0,0
"220","4430825","E.J.","Smith","E.J. Smith","E.J. Smith",210,72,"RB",4,34,53,1,218,0,242,33
"221","4430843","Jalen","Berger","Jalen Berger","Jalen Berger",215,73,"RB",3,12,25,1,93,0,40,5
"222","4430845","Darvon","Hubbard","Darvon Hubbard","Darvon Hubbard",205,72,"RB",2,49,83,3,412,0,249,27
"223","4430847","Chris","Street","Chris Street","Chris Street",210,69,"RB",3,36,62,2,399,0,25,7
"224","4430893","Chip","Trayanum","Chip Trayanum","Chip Trayanum",233,71,"RB",4,40,85,3,373,0,53,9
"225","4430894","Caziah","Holmes","Caziah Holmes","Caziah Holmes",208,71,"RB",3,40,21,2,156,2,56,4
"226","4430898","David","Afari","David Afari","David Afari",200,71,"RB",3,34,148,2,630,0,83,13
"227","4430902","Andy","Alfieri","Andy Alfieri","Andy Alfieri",245,75,"FB",2,4,2,0,4,0,0,0
"228","4430926","Brian","Battie","Brian Battie","Brian Battie",170,67,"RB",3,24,51,1,227,0,52,7
"229","4430968","Kimani","Vidal","Kimani Vidal","Kimani Vidal",215,68,"RB",3,69,280,14,1582,1,198,17
