athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,experience_years,receiving_long_reception,receiving_receiving_touchdowns,receiving_receiving_yards,receiving_receptions
4373662,Billy,Bowens,Billy Bowens,Billy Bowens,200,73,WR,4,52,1,360,25
4373680,Maclaine,Griffin,Maclaine Griffin,Maclaine Griffin,200,74,WR,4,40,2,230,15
4373686,Stefan,Cobbs,Stefan Cobbs,Stefan Cobbs,190,72,WR,4,40,1,241,23
4373810,Isaah,Crocker,Isaah Crocker,Isaah Crocker,183,73,WR,4,55,1,106,4
4373887,Mo,Edwards Jr.,Mo Edwards Jr.,Mo Edwards Jr.,195,75,WR,4,69,1,348,23
4373887,Mo,Edwards Jr.,Mo Edwards Jr.,Mo Edwards Jr.,195,75,WR,4,69,1,348,23
4374030,Jesiah,Irish,Jesiah Irish,Jesiah Irish,174,71,WR,4,38,1,246,15
4374036,Rweha,Munyagi Jr.,Rweha Munyagi Jr.,Rweha Munyagi Jr.,190,74,WR,4,37,1,143,7
4374062,Trae,Hall,Trae Hall,Trae Hall,188,74,WR,4,30,0,63,4
4374076,Andrew,Erickson,Andrew Erickson,Andrew Erickson,205,74,WR,4,52,1,263,20
4374101,Jyran,Mitchell,Jyran Mitchell,Jyran Mitchell,205,72,WR,4,61,3,202,23
4374145,Jermaine,Braddock,Jermaine Braddock,Jermaine Braddock,190,73,WR,4,64,7,636,54
4374150,Isaiah,Hamilton,Isaiah Hamilton,Isaiah Hamilton,187,71,WR,4,39,1,163,15
4374200,Timothy,Patrick,Timothy Patrick,Timothy Patrick,185,72,WR,4,31,4,339,23
4374333,Taymon,Cooke,Taymon Cooke,Taymon Cooke,185,72,WR,4,46,1,148,11
4374391,Roderic,Burns,Roderic Burns,Roderic Burns,190,69,WR,4,42,4,466,41
4376249,Treveyon,Pratt,Treveyon Pratt,Treveyon Pratt,195,73,WR,4,31,3,354,25
4379405,Jaylen,Johnson,Jaylen Johnson,Jaylen Johnson,194,74,WR,4,39,2,466,45
4379471,Tyler,Brown,Tyler Brown,Tyler Brown,180,71,WR,1,47,4,519,51
4379769,Qadir,Ismail,Qadir Ismail,Qadir Ismail,215,78,WR,4,46,0,114,11
4379943,Braeden,Heald,Braeden Heald,Braeden Heald,198,71,WR,4,70,0,190,13
4380331,Jailon,Howard,Jailon Howard,Jailon Howard,180,69,WR,4,42,0,187,16
4381248,Tauskie,Dove,Tauskie Dove,Tauskie Dove,197,74,WR,4,54,1,260,17
4382551,Dre,Tucker,Dre Tucker,Dre Tucker,195,73,WR,4,34,3,113,10
4382551,Dre,Tucker,Dre Tucker,Dre Tucker,195,73,WR,4,34,3,113,10
4382832,Wesley,Eliodor,Wesley Eliodor,Wesley Eliodor,210,72,WR,4,47,3,282,22
4382904,Terrell,Gardner,Terrell Gardner,Terrell Gardner,160,68,WR,4,62,3,413,32
4382936,Jeremiah,Hixon,Jeremiah Hixon,Jeremiah Hixon,167,71,WR,4,59,5,482,39
4383067,Darryl,Powell Jr.,Darryl Powell Jr.,Darryl Powell Jr.,192,75,WR,4,59,9,713,34
4383359,Phoenix,Sproles,Phoenix Sproles,Phoenix Sproles,194,71,WR,4,32,3,387,47
4383364,Zach,Mathis,Zach Mathis,Zach Mathis,203,79,WR,4,53,6,637,44
4383449,Will,Huzzie,Will Huzzie,Will Huzzie,205,75,WR,4,31,2,232,21
4383532,Dejuan,Miller,Dejuan Miller,Dejuan Miller,190,74,WR,4,62,1,91,4
4383929,Derek,Morton,Derek Morton,Derek Morton,170,70,WR,4,31,0,82,4
4384192,Smoke,Harris,Smoke Harris,Smoke Harris,183,67,WR,4,64,4,796,83
4385430,Xavier,Johnson,Xavier Johnson,Xavier Johnson,210,73,WR,4,40,0,147,11
4385438,Sam,Wiglusz,Sam Wiglusz,Sam Wiglusz,183,72,WR,4,38,3,596,51
4385822,Robert,Mason III,Robert Mason III,Robert Mason III,180,73,WR,4,36,0,231,23
4386553,David,Manigo,David Manigo,David Manigo,200,75,WR,4,28,0,165,11
4387384,Tink,Boyd,Tink Boyd,Tink Boyd,186,71,WR,4,41,2,322,29
4391605,Dominique,Thompson,Dominique Thompson,Dominique Thompson,193,71,WR,4,45,2,301,17
4391712,Nicholas,Dixon,Nicholas Dixon,Nicholas Dixon,200,74,WR,4,59,2,314,18
4391712,Nicholas,Dixon,Nicholas Dixon,Nicholas Dixon,200,74,WR,4,59,2,314,18
4401311,Devin,Maddox,Devin Maddox,Devin Maddox,176,69,WR,4,47,1,141,17
4426337,Bru,McCoy,Bru McCoy,Bru McCoy,220,75,WR,4,55,1,217,17
4426341,Dominick,Blaylock,Dominick Blaylock,Dominick Blaylock,203,73,WR,3,53,2,337,21
4426341,Dominick,Blaylock,Dominick Blaylock,Dominick Blaylock,203,73,WR,3,53,2,337,21
4426357,Kyle,Ford,Kyle Ford,Kyle Ford,220,75,WR,4,37,0,203,17
4426383,Dylan,Wright,Dylan Wright,Dylan Wright,210,75,WR,3,36,2,187,11
4426399,Ramel,Keyton,Ramel Keyton,Ramel Keyton,197,75,WR,4,60,6,591,32
4426410,Mycah,Pittman,Mycah Pittman,Mycah Pittman,214,72,WR,4,11,0,20,3
4426449,Boobie,Curry,Boobie Curry,Boobie Curry,205,74,WR,4,48,1,303,29
4426449,Boobie,Curry,Boobie Curry,Boobie Curry,205,74,WR,4,48,1,303,29
4426459,Chase,Lane,Chase Lane,Chase Lane,193,72,WR,3,48,1,105,7
4426459,Chase,Lane,Chase Lane,Chase Lane,193,72,WR,3,48,1,105,7
4426478,Colby,Bowman,Colby Bowman,Colby Bowman,195,74,WR,3,63,2,222,9
4426479,Cornelius,Johnson,Cornelius Johnson,Cornelius Johnson,208,75,WR,4,50,1,567,42
4426479,Cornelius,Johnson,Cornelius Johnson,Cornelius Johnson,208,75,WR,4,50,1,567,42
4426528,Ife,Adeyi,Ife Adeyi,Ife Adeyi,175,70,WR,3,26,0,74,7
4426535,Theo,Wease Jr.,Theo Wease Jr.,Theo Wease Jr.,192,74,WR,4,77,6,639,45
4426570,Ezeriah,Anderson,Ezeriah Anderson,Ezeriah Anderson,210,77,WR,4,50,4,489,35
4426612,Jarrad,Baker,Jarrad Baker,Jarrad Baker,170,71,WR,4,19,0,45,7
4426760,Stephan,Bracey Jr.,Stephan Bracey Jr.,Stephan Bracey Jr.,190,70,WR,3,24,0,66,10
4426800,Ahmarean,Brown,Ahmarean Brown,Ahmarean Brown,169,69,WR,4,44,1,265,26
4426815,Michael,Brown-Stephens,Michael Brown-Stephens,Michael Brown-Stephens,189,72,WR,4,38,2,350,27
4426863,DeQuece,Carter,DeQuece Carter,DeQuece Carter,200,72,WR,4,90,3,395,27
4426869,Jalen,Carr,Jalen Carr,Jalen Carr,160,69,WR,3,30,1,135,18
4426892,Dante,Cephas,Dante Cephas,Dante Cephas,187,72,WR,4,26,2,246,22
4426893,Joshua,Cephus,Joshua Cephus,Joshua Cephus,185,75,WR,4,84,9,1049,82
4426898,Darien,Chase,Darien Chase,Darien Chase,210,73,WR,2,14,0,50,5
4426898,Darien,Chase,Darien Chase,Darien Chase,210,73,WR,2,14,0,50,5
4426940,Kevens,Clercius,Kevens Clercius,Kevens Clercius,212,74,WR,3,25,1,56,5
4426940,Kevens,Clercius,Kevens Clercius,Kevens Clercius,212,74,WR,3,25,1,56,5
4426948,Luke,McCaffrey,Luke McCaffrey,Luke McCaffrey,195,74,WR,3,51,12,963,68
4426965,Blair,Conwright,Blair Conwright,Blair Conwright,181,71,WR,3,43,2,385,24
4426971,Gary,Cooper,Gary Cooper,Gary Cooper,220,74,WR,4,11,2,64,8
4426971,Gary,Cooper,Gary Cooper,Gary Cooper,220,74,WR,4,11,2,64,8
4427003,Kyron,Cumby,Kyron Cumby,Kyron Cumby,183,68,RB,4,32,0,100,8
4427037,Dashaun,Davis,Dashaun Davis,Dashaun Davis,175,69,WR,3,57,3,381,29
4427063,Wayne,Dennis Jr.,Wayne Dennis Jr.,Wayne Dennis Jr.,210,76,WR,4,9,0,22,4
