athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,defensive_passes_defended,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_interceptions_interceptions
4367711,John,Pupel,John Pupel,John Pupel,200,73,DB,0,0,53,78,0
4367774,Ryan,Poole,Ryan Poole,Ryan Poole,185,71,CB,10,0,29,41,3
4367788,Cameron,Blair,Cameron Blair,Cameron Blair,195,73,DB,6,0,22,33,1
4367947,Desmond,Harrod,Desmond Harrod,Desmond Harrod,200,72,DB,3,2,13,19,0
4367951,Kerry,Galloway,Kerry Galloway,Kerry Galloway,145,67,DB,4,1,11,14,0
4368081,Walter,Reynolds,Walter Reynolds,Walter Reynolds,196,73,S,1,0,18,60,1
4368092,Iverson,Brown,Iverson Brown,Iverson Brown,207,73,S,1,1,17,30,0
4368113,Charles,Woods,Charles Woods,Charles Woods,191,71,CB,11,0,21,25,0
4368231,Clay,Fields III,Clay Fields III,Clay Fields III,211,70,DB,9,0,36,49,1
4368291,DyShawn,Gales,DyShawn Gales,DyShawn Gales,190,71,CB,3,0.5,23,38,1
4368672,R.J.,Coles,R.J. Coles,R.J. Coles,193,70,DB,2,1,32,47,1
4368673,Brandon,Savage,Brandon Savage,Brandon Savage,170,71,DB,0,0,4,5,0
4368794,George,Steele,George Steele,George Steele,180,70,DB,5,1,21,46,0
4368802,Malik,Feaster,Malik Feaster,Malik Feaster,190,72,DB,4,0,13,15,1
4368838,Marcis,Floyd,Marcis Floyd,Marcis Floyd,200,72,S,7,1,28,43,1
4368881,Lawrence,Johnson,Lawrence Johnson,Lawrence Johnson,196,72,DB,5,1,47,72,0
4369316,Manny,Smith,Manny Smith,Manny Smith,195,72,DB,0,0,31,46,1
4369317,Romeo,Stancil,Romeo Stancil,Romeo Stancil,175,73,DB,1,0,7,7,0
4369456,Travis,Blackshear,Travis Blackshear,Travis Blackshear,180,71,CB,9,0,21,29,4
4369903,Calvonte,Key,Calvonte Key,Calvonte Key,165,74,CB,4,0,3,8,1
4369971,Romeo,Wykle,Romeo Wykle,Romeo Wykle,207,72,DB,3,0,22,31,0
4370799,Coen,King,Coen King,Coen King,194,72,S,5,0,47,60,0
4370820,Joseph,White,Joseph White,Joseph White,174,73,DB,0,0,20,46,1
4370858,C.J.,Siegel,C.J. Siegel,C.J. Siegel,180,72,DB,8,0,27,32,1
4370859,Kadon,Kauppinen,Kadon Kauppinen,Kadon Kauppinen,210,74,DB,4,0,27,41,0
4371084,Tyler,Boatwright,Tyler Boatwright,Tyler Boatwright,176,73,CB,7,0,19,26,1
4371336,Shemar,Bartholomew,Shemar Bartholomew,Shemar Bartholomew,200,73,DB,13,0,26,31,1
4371337,Cedric,Anderson,Cedric Anderson,Cedric Anderson,195,76,DB,3,0,14,18,2
4371361,Keenan,Leachman,Keenan Leachman,Keenan Leachman,215,71,S,0,0,23,28,3
4371393,Cameron,Godfrey,Cameron Godfrey,Cameron Godfrey,190,72,DB,7,0.5,26,45,1
4371483,John,Blunt Jr.,John Blunt Jr.,John Blunt Jr.,195,73,CB,1,1,12,16,0
4371951,Noah,Pierre,Noah Pierre,Noah Pierre,180,71,DB,2,1,16,22,0
4371975,Matthew,Hill,Matthew Hill,Matthew Hill,192,73,S,0,0,5,10,0
4371982,Kolbi,Fuqua,Kolbi Fuqua,Kolbi Fuqua,220,75,DB,1,2.5,42,77,1
4371992,LaDarrius,Bishop,LaDarrius Bishop,LaDarrius Bishop,183,72,DB,0,0,2,3,0
