athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,general_fumbles_forced,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_sack_yards
5091748,Jayden,Virgin,Jayden Virgin,Jayden Virgin,246,75,DE,0,0,11,23,0
5091777,Eddie,Kelly,Eddie Kelly,Eddie Kelly,278,76,DL,0,0.5,13,36,10
5091781,Michael,Williams II,Michael Williams II,Michael Williams II,256,75,DE,0,1,8,12,2
5091814,Brandon,Lane,Brandon Lane,Brandon Lane,300,75,DL,0,1.5,16,45,14
5092203,Bodie,Schoonover,Bodie Schoonover,Bodie Schoonover,245,75,DE,0,0,0,2,0
5092295,Kasey,Bonds,Kasey Bonds,Kasey Bonds,263,68,DT,0,0,0,2,0
5092312,Avery,Burt,Avery Burt,Avery Burt,246,73,DL,0,1,1,6,4
5092314,Tavien,Ford,Tavien Ford,Tavien Ford,295,75,DT,0,0,0,5,0
5092497,Isaac,Washington,Isaac Washington,Isaac Washington,285,76,DL,0,0,1,3,0
5092512,Brandon,McElroy,Brandon McElroy,Brandon McElroy,301,77,DL,0,0.5,1,11,0
5092789,Zion,Nason,Zion Nason,Zion Nason,295,74,DL,0,1.5,9,35,12
5092826,Caden,Camese,Caden Camese,Caden Camese,290,75,DL,0,0.5,3,11,0
5092955,Dean,Miller,Dean Miller,Dean Miller,220,77,DE,0,0,3,3,0
5092956,Davion,Westmoreland,Davion Westmoreland,Davion Westmoreland,250,75,DE,0,0,2,4,0
5092989,Cavan,Tuley,Cavan Tuley,Cavan Tuley,230,74,DL,0,0,2,3,0
5093721,Payton,Payne,Payton Payne,Payton Payne,295,71,DT,0,0,3,7,0
5093735,Julian,Sanderlin,Julian Sanderlin,Julian Sanderlin,245,75,DE,1,2,15,27,17
5093756,Rylen,Sua-Filo,Rylen Sua-Filo,Rylen Sua-Filo,300,73,DT,0,2,11,28,16
5093757,Anisi,Purcell,Anisi Purcell,Anisi Purcell,266,75,DE,0,4,12,26,26
5093960,Michael,Surface,Michael Surface,Michael Surface,223,73,DL,0,1,5,14,16
5093973,Levi Drake,Rodriguez,Levi Drake Rodriguez,Levi Drake Rodriguez,269,73,DT,1,5.5,19,51,33
5093997,Clifford,Funderburk,Clifford Funderburk,Clifford Funderburk,235,74,DL,3,5,7,21,24
5093998,Micah,Owens,Micah Owens,Micah Owens,291,73,DL,0,0,0,3,0
5093999,Warren,Robinson,Warren Robinson,Warren Robinson,249,74,DL,1,2.5,8,23,10
5094002,Patrick,Brown Jr.,Patrick Brown Jr.,Patrick Brown Jr.,275,70,DL,0,1,4,10,5
5094004,Anthony,Gray,Anthony Gray,Anthony Gray,282,72,DL,0,1.5,4,12,13
5094089,Dylan,Jones,Dylan Jones,Dylan Jones,275,76,DL,0,0,5,10,0
5094093,Reggie,Darkah,Reggie Darkah,Reggie Darkah,220,74,DE,1,0,7,15,0
5095098,Jai,Barnes,Jai Barnes,Jai Barnes,300,74,DL,0,0,5,14,0
5095139,Noah,Steverson,Noah Steverson,Noah Steverson,275,75,DL,0,3,12,21,24
5095267,Jamaal,McKinney,Jamaal McKinney,Jamaal McKinney,230,73,DL,0,0,4,6,0
5095792,Carson,Arnold,Carson Arnold,Carson Arnold,230,75,DL,0,0,5,9,0
5095838,Kendrick,DuJour,Kendrick DuJour,Kendrick DuJour,230,77,DL,0,4.5,11,16,27
5096821,Myles,McHaney IV,Myles McHaney IV,Myles McHaney IV,230,75,DE,1,2,14,23,7
5096944,Kamaurja,Kenney,Kamaurja Kenney,Kamaurja Kenney,250,74,DL,1,0.5,6,11,4
5096947,Malachi,Bailey,Malachi Bailey,Malachi Bailey,260,74,DL,1,5,15,23,21
5096999,David,Walker,David Walker,David Walker,260,72,DL,0,0,4,7,0
5097001,Quinton,Cook,Quinton Cook,Quinton Cook,270,75,DT,0,1,1,5,8
5097066,Olanrewaju,Adeyemi,Olanrewaju Adeyemi,Olanrewaju Adeyemi,225,76,DL,0,2,8,12,6
5097134,Miles,Mitchell,Miles Mitchell,Miles Mitchell,250,76,DL,0,0,13,23,0
5097931,Braylon,Willis,Braylon Willis,Braylon Willis,245,76,DL,0,0,11,21,0
5097972,Detrick,Jones,Detrick Jones,Detrick Jones,310,72,DL,0,0,16,26,0
5098685,Trent,Henry,Trent Henry,Trent Henry,195,71,DB,0,0,5,7,0
5098874,Destin,Gainer,Destin Gainer,Destin Gainer,235,76,DE,0,0,9,21,0
5099741,Demetrie,Morgan,Demetrie Morgan,Demetrie Morgan,215,77,DE,2,2,9,16,7
5100941,Michael,Noubissi,Michael Noubissi,Michael Noubissi,240,75,DE,0,0,0,2,0
5101112,Ansel,Din-Mbuh,Ansel Din-Mbuh,Ansel Din-Mbuh,299,75,DL,0,0,0,2,0
5101116,Colin,Coates,Colin Coates,Colin Coates,300,74,DL,0,0,5,14,0
5102177,Thomas,Johnson,Thomas Johnson,Thomas Johnson,235,75,DL,0,1.5,7,21,6
5102446,Joe Ray,Maez,Joe Ray Maez,Joe Ray Maez,276,77,DE,0,0,0,2,0
