Player,Pos.,2023 Team,2024 Team,Type,Snaps,Age,Current APY,Guarantees
Tyler Shatley,C,Jaguars,,UFA,44.40%,33,"$2,400,000 ","$2,350,000 "
Coleman Shelton,RG,Rams,,UFA,97.00%,29,"$2,375,000 ","$2,750,000 "
Keith Smith,FB,Falcons,,UFA,16.50%,32,"$2,350,000 ","$625,000 "
Solomon Thomas,EDGE,Jets,,UFA,42.60%,29,"$2,350,000 ","$2,010,000 "
Isaiah Wynn,RT,Dolphins,,UFA,35.70%,29,"$2,300,000 ","$1,960,000 "
Linval Joseph,IDL,Bills,,UFA,15.00%,36,"$2,282,500 ","$1,250,000 "
Mike Purcell,IDL,Broncos,,UFA,40.90%,33,"$2,250,000 ","$45,000 "
Justin Hardee,CB,Jets,,UFA,0.00%,30,"$2,250,000 ","$1,000,000 "
Al Woods,IDL,Jets,,UFA,12.40%,37,"$2,250,000 ","$1,000,000 "
Brian Hoyer,QB,Raiders,,SFA,7.60%,39,"$2,250,000 ","$4,205,000 "
Jon Feliciano,LG,49ers,,UFA,44.80%,32,"$2,250,000 ","$2,250,000 "
Evan Brown,C,Seahawks,,UFA,91.30%,28,"$2,250,000 ","$1,000,000 "
Tavierre Thomas,CB,Texans,,UFA,30.90%,28,"$2,250,000 ","$2,000,000 "
Poona Ford,IDL,Bills,,UFA,14.10%,29,"$2,250,000 ","$1,500,000 "
Joe Flacco,QB,Browns,,UFA,27.90%,39,"$2,200,000 ","$400,000 "
Wil Lutz,K,Broncos,,UFA,32.00%,30,"$2,200,000 ","$500,000 "
Cody Davis,S,Patriots,,UFA,0.00%,35,"$2,200,000 ","$500,000 "
Keanu Neal,S,Steelers,,SFA,38.10%,29,"$2,125,000 ","$920,000 "
Joey Slye,K,Commanders,,UFA,27.50%,28,"$2,100,000 ","$2,000,000 "
Yetur Gross-Matos,EDGE,Panthers,,UFA,44.20%,26,"$2,049,707 ","$5,215,458 "
Tershawn Wharton,IDL,Chiefs,,UFA,36.70%,26,"$2,025,000 ","$850,000 "
Tyrel Dodson,LB,Bills,,UFA,51.20%,26,"$2,010,000 ","$2,010,000 "
Terrell Edmunds,S,Titans,,UFA,41.10%,27,"$2,000,000 ","$600,000 "
Marcedes Lewis,TE,Bears,,UFA,29.20%,40,"$2,000,000 ","$1,000,000 "
Zeke Turner,LB,Cardinals,,UFA,4.50%,28,"$2,000,000 ","$652,500 "
Efe Obada,EDGE,Commanders,,UFA,8.40%,32,"$2,000,000 ","$1,000,000 "
D'Onta Foreman,RB,Bears,,UFA,23.60%,28,"$2,000,000 ","$1,000,000 "
Greg Joseph,K,Vikings,,UFA,34.00%,30,"$2,000,000 ","$1,700,000 "
Ray-Ray McCloud,WR,49ers,,UFA,19.60%,28,"$2,000,000 ","$2,785,000 "
Joshua Dobbs,QB,Vikings,,UFA,75.70%,29,"$2,000,000 ","$2,000,000 "
Kevin Givens,IDL,49ers,,UFA,36.40%,27,"$2,000,000 ","$2,000,000 "
Boston Scott,RB,Eagles,,UFA,5.90%,29,"$2,000,000 ","$1,080,000 "
Laviska Shenault,WR,Panthers,,UFA,8.00%,26,"$1,924,017 ","$4,726,961 "
Connor McGovern,C,Jets,,UFA,33.70%,31,"$1,915,000 ","$1,250,000 "
Prince Tega Wanogho,RT,Chiefs,,UFA,1.40%,27,"$1,865,000 ","$750,000 "
Nik Needham,CB,Dolphins,,UFA,6.40%,28,"$1,825,000 ","$750,000 "
Demetrius Flannigan-Fowles,LB,49ers,,UFA,14.70%,28,"$1,825,000 ","$1,250,000 "
